Seat,x,y
arafura,3.3,10
mulka,3.9,10
nelson,2.7,10
wanguri,1.5,10
casuarina,0.9,10
karama,2.4,7
sanderson,1.8,7
johnston,1.2,7
nightcliff,0.6,7
fannie-bay,0.9,4
fong-lim,1.5,4
port-darwin,0.6,1
spillett,1.8,1
drysdale,2.4,1
brennan,3,1
blain,2.7,-2
goyder,2.1,-2
daly,1.8,-5
arnhem,3,-5
katherine,2.4,-5
barkly,2.7,-8
gwoja,2.1,-8
namatjira,3,-11
braitling,2.4,-11
araluen,1.8,-11

