Seat,x,y
arafura,1.5,16
mulka,2.1,16
nelson,1.2,13
wanguri,0.6,13
casuarina,-0.6,13
karama,0.9,10
sanderson,0.3,10
johnston,-0.3,10
nightcliff,-0.9,10
fannie-bay,0,7
fong-lim,0.6,7
port-darwin,-0.6,7
spillett,0.9,4
drysdale,1.5,4
brennan,2.1,4
blain,1.8,1
goyder,2.1,-2
daly,1.8,-5
arnhem,2.4,-5
katherine,2.1,-8
barkly,3,-14
namatjira,2.1,-20
braitling,1.8,-26
araluen,2.4,-26
gwoja,3,-26.0
